|  instruction   |  zr   |  ng   | loadA | loadD | step  | jump  |writeM |
|0011000000111001|   0   |   0   |   1   |   0   |   1   |   0   |   0   |
|0101101110100000|   0   |   0   |   1   |   0   |   1   |   0   |   0   |
|1110000111110000|   0   |   0   |   1   |   1   |   1   |   0   |   0   |
|1110110000010000|   0   |   0   |   0   |   1   |   1   |   0   |   0   |
|0000001111101011|   1   |   0   |   1   |   0   |   1   |   0   |   0   |
|1110001100001000|   0   |   1   |   0   |   0   |   1   |   0   |   1   |
|1110001100001000|   0   |   0   |   0   |   0   |   1   |   0   |   1   |
|0000001111101100|   1   |   0   |   1   |   0   |   1   |   0   |   0   |
|0000001111101100|   0   |   0   |   1   |   0   |   1   |   0   |   0   |
|1110001110011000|   0   |   1   |   0   |   1   |   1   |   0   |   1   |
|0000001111101000|   0   |   1   |   1   |   0   |   1   |   0   |   0   |
|1111010011110000|   0   |   1   |   1   |   1   |   1   |   0   |   0   |
|0000000000001110|   0   |   1   |   1   |   0   |   1   |   0   |   0   |
|1110001100000100|   0   |   1   |   0   |   0   |   0   |   1   |   0   |
